tooltip_id,label,object,property
"crtr-sel"," IDP Rightt CRT Select: %s","crtr-sel","/fdm/jsbsim/systems/dps/crtr-sel"
"event-tmr-mode","Event Timer Mode: %s","event-tmr-mode","/fdm/jsbsim/systems/timer/event-tmr-mode"
"event-tmr-cntrl","Event Timer Control: %s","event-tmr-cntrl","/fdm/jsbsim/systems/timer/event-tmr-cntrl"
"event-tmr-set","Event Timer Set/Reset: %s","event-tmr-set","/fdm/jsbsim/systems/timer/event-tmr-set"
"timer1-set-up","Timer 1 Up: %s","timer1-set-up","/fdm/jsbsim/systems/timer/timer1-up"
"timer1-set-dn","Timer 1 Down: %s","timer1-set-dn","/fdm/jsbsim/systems/timer/timer1-dn"
"timer2-set-up","Timer 2 Up: %s","timer2-set-up","/fdm/jsbsim/systems/timer/timer2-up"
"timer2-set-dn","Timer 2 Down: %s","timer2-set-dn","/fdm/jsbsim/systems/timer/timer2-dn"
"timer3-set-up","Timer 3 Up: %s","timer3-set-up","/fdm/jsbsim/systems/timer/timer3-up"
"timer3-set-dn","Timer 3 Down: %s","timer3-set-dn","/fdm/jsbsim/systems/timer/timer3-dn"
"timer4-set-up","Timer 4 Up: %s","timer4-set-up","/fdm/jsbsim/systems/timer/timer4-up"
"timer4-set-dn","Timer 4 Down: %s","timer4-set-dn","/fdm/jsbsim/systems/timer/timer4-dn"
"fuel-cell-reac-vlv1","Fuel Cell Reac Valve 1: %s","fuel-cell-reac-vlv1","/fdm/jsbsim/systems/electrical/fc/reactant-valve-status"
"fuel-cell-reac-vlv2","Fuel Cell Reac Valve 2: %s","fuel-cell-reac-vlv2","/fdm/jsbsim/systems/electrical/fc[1]/reactant-valve-status"
"fuel-cell-reac-vlv3","Fuel Cell Reac Valve 3: %s","fuel-cell-reac-vlv3","/fdm/jsbsim/systems/electrical/fc[2]/reactant-valve-status"
"bfc-crt-display","BFC CRT Display: %s","bfc-crt-display","/fdm/jsbsim/systems/dps/bfs/display-switch"
"bfc-crt-select","BFC CRT Select: %s","bfc-crt-select","/fdm/jsbsim/systems/dps/bfs/crt-select-switch"
"bodyflap","Bodyflap: %s","bodyflap","/fdm/jsbsim/systems/fcs/bodyflap-manual-switch"
"air-data-probe-stow-left","Left Air Data Probe Stow: %s","air-data-probe-stow-left","/fdm/jsbsim/systems/navigation/air-data-stow-left-switch"
